EMOTION,TRANSCRIPTION
sad," Yeah.  And she was like, that's pathetic, I hope you enjoy it."
sad," And I, you know, I mean, I said I was sorry and I brought it back to her kind of and I like put it on the ground and she was like, no, it's fine.  She was like, I would rather have her back, honestly."
neu, Mmhmm.
sad," I don't know.  It just, like, I felt so bad because I shouldn't have done it.  I don't know.  Whatever."
sad, Yeah.
sad, I don't know.
neu, How long were you there for?
sad, At the cemetery?
neu, Mmhmm.
sad, couple hours.
neu," I brought- I brought Chuck with me. He went to Redlands, yeah, for the day.  We ran through the sprinklers."
neu, Oh really?
neu, You ran through the sprinklers in the cemetery?
neu, Is it a big cemetery?
neu, Yeah.  It's huge.  Redlands is an old city so they have lots and lots of stones.
neu," Oh, so they're like really old too, really old ones?"
neu, Yeah.
sad," It's weird.  Whenever I go back to town, I think of her.  I mean, it's like ... I mean we grew up together and she died when we were twenty one.  And yeah.  She had cancer, she had two brain tumors."
sad," My best friend Heather.  She's got a- we have a- we built this like little--  There's a park, Prospect Park.  And there is like a garden section of it that we set up for her."
sad, She used to have these poetry parties on Memorial Day.
neu, Mmhmm.
sad, Umm. Yeah.
sad," And the last time before she died, I remember she couldn't really stand, umm..."
sad," But I mean she could, but it was- so it was kind of sitting at her feet holding her up and she had these poems she had memorized.  And I remember looking up, she had curly red hair and there was this palm tree right behind her and it was like a crown growing right out of her head.  It was cool."
neu, Mmhmm.
sad," Some, I guess.  She memorized this one, John Dunn, it's called, Death Be Not Proud. and-"
neu, So she wrote a lot of poetry?
neu," There's another one, I can't remember."
sad," I remember, too, when we were--  she died at U.C.L.A.  She had brain surgery and there was not much hope to begin with, but I gave blood for her surgery, her mom and I before, so we dropped her off in the waiting room and then we were giving blood and came back.  And she, in her wheelchair, like can hardly do anything, reciting her poetry for these people like in the waiting room.  All she needs is a God damn audience.  You know?"
hap, Did you get the letter?
hap," Yes.  There's a big envelope it says, you're in. I know."
hap, Yeah. That is so awesome.
hap, Oh my God. What are you going to do? [LAUGHTER]
hap," Oh-Yeah, I bet you're really excited. Oh.  That's what loans are for?  Right? Exactly."
hap," I'm really excited.  Yeah. I don't know how I'm going to pay for anything, but... I also- Yeah.  Loans, too, yeah. I applied, though, for a bunch of grants and scholarships so I'm still waiting to hear on that."
hap," Oh.  Good, good.  That's awesome. Are you going to stay around here?  Or are you going to like get a different neighborhood- you going to move to a different neighborhood?"
hap," Oh- I know, I know, I know, I know."
hap," I don't know.  I spend so much time commuting as it is, I'd rather."
hap, This is so- I am so happy that you're going to stay.  You're not going to...We should totally throw a party.
hap, I know. We should throw a party.
hap, A rapper party ho. Yeah. Okay.
hap," I am just- Yeah.  I'm sticking around, I'm just doing my thing.  I'm living here.  I'm so glad you're going to stay, I'm so glad you're going to be here. Yeah. Woo."
hap, Yeah.  Big time.
hap, Mmhmm. Mmhmm. Yay. So what major?  What are you doing?
hap, Yeah.  I'm not sure.
neu, Is this a Masters or a P.h.D.?  Or can you...? Nice
hap, Umm...P.h.D. [LAUGHTER]
neu," That's good.  Don't you have to like teach a class, too, when you do that?"
hap," Teacher. Mrs. Nash, I have a question."
hap, So I get to mold young minds. Mrs.?  That's my mother.
hap, You have to get married.  Well you are married to Chuck.  You're Mrs. Nash.  Not to be confused with Mrs. Dash which is the popular seasoning.
hap," I would be like- Oh. Right, right, right."
hap, Yay...School's fun.
neu," Of course, right.  That's where the real money is, being a student."
hap, That's how you get the big bucks.  Are you messing with the chair? Don't ruin it.
hap," I know. I made such a mess of it, the entire time.  The last three things I've done, I've ruined everything, I think. Mm-hmm.  Yeah."
neu, He saw it.
neu, He was out here when it broke.
neu, Four o clock this morning.  I heard a crack and I woke up and looked out.  He was standing right over there when it cracked.
neu, I don't know.
neu," He's dreaming of him again, walking around."
neu, I guess he is.
neu, You know Larry is not coming back and I know it.  Why do we allow him to go on thinking that we believe with him?
neu, We've got to say it to him.
neu," Sit down, Mom.  I want to talk to you."
neu, You know.
neu," Well I got an idea, but what's your story?"
neu, I'm going to ask her to marry me.
neu, You know it's not just my business.
neu," So all right then, I'll just go ahead with it?"
ang," You know sometimes you infuriate me.  you know that?  Isn't it your business if I tell father and he throws a fit about it?  God, you have such a talent for ignoring things."
neu, I wanted to get this settled first.
neu," Well if she does, then that's it.  That's the end of it.  From her letters, though, I think she's pretty much forgotten him."
neu, And then we'll thrash it out with father.  Okay Mom?  Don't avoid me.
neu, Just give it some more thought.
ang, What the hell is this?
neu," I'll get out.  I'll get married and I'll move somewhere else, maybe New York."
ang, You have a business here.  What the hell is this?
ang, Oh.  Must you be inspired?
neu," On this, I would."
neu, Then help me stay here.
ang," All right.  But you don't want to think like that because what the hell are we working for, Chris?  It's all for you.  This whole shooting match is for you."
ang, Just don't think like that.
neu, Well maybe...maybe he just wanted to see her.
ang, He's not going to marry her.
neu, How do you know he's even thinking about it?
ang, It's got that about it.
ang," What is going on here, Joe?"
ang, She is not his girl.  She knows she's not.
ang," Then why is she still single?  New York is full of men, why is she still single?  Probably a hundred people told her she's foolish, but she waited."
neu, How do you know why she waited?
ang," Because she knows what I know, that's why.  She's faithful as a rock.  In my darkest moments, I think of her waiting and I know that I'm right."
ang," Nobody in this house dares take away her faith, Joe.  You know strangers might, but not his father, not his brother."
ang," I want you to-- I want you to act like he is coming back, both of you.  Don't think I haven't noticed you since Chris invited her here."
ang, I won't stand for any nonsense.
ang," Because if he's not coming back, I'll kill myself.  Oh laugh, laugh all you like but why does this happen the very night he comes back.  She goes to sleep in his room and his memorial breaks in pieces.  Look at it, Joe, look."
ang," Just believe with me, Joe. Only last week a man came back in Detroit missing longer than Larry.  Believe with me. You, above all, have got to believe. Just believe."
ang," What have I got to hide?  What the hell is the matter with you, Kate?"
neu, You're the only one who still loves his parents.
neu," I know.  It kind of went out of style, didn't it?"
neu, It's not so bad; it's a good thing.
neu," [BREATHING] You know, it's lovely here.  The air is sweet."
neu, You're not sorry you came.
neu," I'm not sorry, no. But I'm...I can't stay."
neu," For one thing, your mother much as told me to go."
neu, Well.
neu," And then, you.  You've been kind of..."
neu, What?
neu, Sort of embarrassed ever since I got here.
neu, Well I was kind of planning of sneaking up on you over the course of a week or so.  They just take it for granted that we're all set.
neu, I knew they would.
neu," Well sure, from your mother's point of view.  Why else would I come?"
neu," I, umm. I guess, I guess that's kind of why I came."
hap, [BREATHING]
hap," I love you. Annie, I love you."
hap, [LAUGHTER]
hap," I don't really have any imagination, that's all I know how to say."
hap, [LAUGHTER]
hap," Am I embarrassing you? Are you - See, I didn't want to do it here with this yard, on this porch.  I wanted it to be somewhere new, some place fresh for both of us."
hap, No. No
neu," Chris, I've been ready a long, long, time."
neu, I almost got married two years ago.
neu, You started to write me.
hap, Every day since.
hap, Why didn't you let me know?
hap, Give me a...
hap, Give me a kiss.
hap, beating around the bush.
hap," I will never forgive you.  All I'd done was sit around wondering if I was crazy waiting so long, wondering if you were thinking about me."
hap," Oh Annie, we are going to live now.  I am going to make you so happy."
hap, Not like that you're not.
hap, I kissed you.
neu," Like Larry's brother.  Do it like you, Chris."
sad," Hey, let's drive some place.  Huh?  Let's get out of here."
sad, No it's nothing like that. It's-
sad, Yeah.  I suppose I have been. But it's going from me.
sad, I don't even know how to start.
sad," It's just all mixed up with so many other things, you know?  You know overseas I was in command of a company?"
neu," Yeah, sure."
sad, Well I lost them.
neu, How many?
sad, Pretty much all.
sad," Aw, geez."
sad, You can't just toss off a thing like that because they weren't just men. You know?
sad," Like for instance, there was this one time it had been raining for several days and this kid he just came up to me and he gave me his last pair of dry socks.  He just put them in my pocket.  That's a little thing, you know, but that's what kind of guys I had."
sad," They didn't die, they killed themselves for each other.  I mean that, exactly.  Just a little more selfish and they would all be here today."
neu, Mmhmm.
sad," To bring that on to the earth again, you know, is like some kind of monument and I thought I would just make a difference to them."
sad," But then I came home and it was incredible, you know?  The whole thing was just kind of this random bus accident.  You know, I went back to the rat race again, I went to work."
sad, And I didn't want any of it. I guess that included you.
neu, I just want you to know Annie.
hap, What would I do with a fortune?
neu, Fine.
hap," Okay.  Is that, is that--"
neu," The flashlight, the silver one.  There's only one, isn't there?"
neu, That's not your flashlight.
neu, Whose is it?
neu," Oh...well. Yeah, of course."
ang, You keep saying my flashlight like it's just yours.
neu, No.
ang, How's that supposed to make me feel?
neu," Of course, our flashlight.  What's yours is mine.  Me flashlight es su flashlight."
neu, Do they always run during a full moon?  I don't remember.  Was it full last year?
neu, Yeah.
neu," Huh.  Are you cold?  Do you want my jacket?  No?  you know, we should have brought the blanket?  Our blanket."
neu," Aw.  Do you know, I should have brought a six pack, too.  A six pack, that would be just the ticket right about now.  Huh?"
hap," God, I'm so excited, I'm like a kid.  I can't believe I got out of the house with my fly zipped up."
hap, [LAUGHTER]
sad, I'm cold.
neu, Right.
neu," Wait, that's my point, too."
neu, Not particularly.
neu, Why not?
neu," Honey, this is like a natural phenomenon. I mean... People in Kansas would have to get plane reservations and get hotel rooms to see this.  It's just forty minutes away for us; it's too good to pass up."
neu, Yeah.  But this..this moment on the beach is like the highlight of their little lives.  All that flopping around is laying eggs or what to do - spawning or mating or whatever.
neu, This is a big night for these little guys.  It's like life's last orgy.
neu," There's like mystery here, there's magic.  It's like a little bit of the unexplainable.  I just can't see how you're not interested."
neu," God, I don't get it.  you know the first time we came here, you said it was the best night of your life?"
neu," And last year, I remember distinctly you said, you were so excited to get here that you don't remember you stubbed your toe until we were in the car."
neu, Ahh...we weren't in a good spot.
neu," We just weren't in a good spot.  I'm telling you, this is a much better spot.  I have instincts for these things."
hap," Look there, see?  What's that?  No, that's - that's just seaweed."
hap," God, this is great.  Think about this.  I know you are not interested, but just think about this."
hap," Just all at once, they turned and they formed this line as long as the California coast.  And some instinctual little firecracker went off in their bodies and they all just turned as one and started swimming."
hap, It's single mindedness with no mind.  It is urgency that is just pure urge.
neu, That's the wind.
hap, So what do you think?
neu, About what?
hap," About all of that, about all I was talking about."
hap," Look at this, all of the hairs are standing up on my arm."
neu, That's the wind.
hap," Well, so, what do you think?"
neu, About what?
neu, About what I was saying.
neu," Carla, can I ask you something?  Now, don't take this the wrong way, but are you on your period?"
ang," Don't ask me that.  I hate it when you ask me that, you always ask me that.  It's insulting."
ang," For God- Grow up, Augie.  The fish are not going to arrive."
ang, Because they never do.  Have they...Have they ever?
ang, Twice is every time we have tried; that's ever.
sad," I feel like I'm always just standing here waiting.  I feel like this night is going to be the night, but it never is."
ang," For God's sake, this is not about fish."
neu," Okay.  So you were fine during that phone call from Marge and then dinner was okay.  And doing the dishes was fine and then I was going to take a shower and you're watching the news and you said the grunions are running tonight, do you want to go?  And I said, sure great, let's go."
neu," Okay.  So I am putting out the pets, getting the car out of the garage."
neu, Do you remember the first year we came here?  It was like four years after we got married.
hap," You whispered the sweetest, most intimate things to me right into my ear so I could feel them as much as hear them.  And I remember thinking, this is it.  You know, finally, I am as happy as I'm supposed to be."
neu," It's when we were driving past that Knickerbocker Liquor Locker, you said, let's get some champagne.  I said no, time's a wasting or something like that."
sad, I'd rather not remember some things.  I'd rather not hope for some things.
neu, Sure.  All right.  Okay.
neu," Listen, do you want to dance?"
neu, No.
neu, Do you want me to go get some champagne?
hap, Do you want to take off your shoes?
hap, Do you want to get married again?
neu, No.
neu, Yes it is.
sad," I know you are Augie, I know."
sad," I know you meant this to be special, I know that you wanted it to be right, but I just can't help thinking that, I can't help wishing that I was somewhere else."
sad," Maybe if you were with someone else, too."
sad, I didn't say that.
sad, I just- I know I don't make you happy.
sad," You're the one who probably wishes he was with somebody else.  Somebody who doesn't take things so seriously, who could enjoy herself."
neu," You know, actually now that you mention it, no I don't."
neu," So maybe we are in the wrong spot, but we are with the right person."
neu," We have a great view of the moon from here, though, huh?"
hap," Hmm.  I noticed that, it's pretty. Big old white moon."
neu, [BREATHING]
hap, And look what I got here.
hap," Augie, you bought refreshments."
hap, I guess we don't need glasses.
hap, [BREATHING]
neu, Do you want to go home?  Are you cold?
hap, I'm beginning to think this might be the right spot after all.
sad," Augie, I'm sorry."
neu," Shh.  If we're very quiet, the fish might come."
neu, Or not.
hap, Or not.
hap, I don't care then.
hap, No.  Wrong number. [LAUGHTER]
hap, [LAUGHTER] That sent shivers up my spine.
hap, What shall we do if they suddenly walk in on us.[LAUGHTER]
hap, We'll behave exquisitely.
hap, With perfect poise.
hap, I think I shall do a curtsy.
hap," It's strange; things that ought to matter dreadfully, they just don't matter at all when one's happy.  Do they?"
hap, Yes.  Meaning just that.
hap," Well what does it all mean?  That's what I ask myself in my quest for ultimate truth.  Dear God, what does it all mean?"
hap, Don't laugh at me.  I'm being serious.
hap, Who's they?
hap, Who knows?
hap, Yes.  Yes with all of his might.
hap," Let's be superficial, and just pity those poor philosophers, huh?  Let's blow trumpets and squeakers and enjoy the party for as long as we can, you know, like small, idiotic school children."
hap, [LAUGHTER]
hap, Oh Come and kiss me darling before your body rots and worms pop out of your eye sockets.
hap," Oh Elliott, worms don't pop."
hap," Oh See, I don't care what you do, see.  You can paint yourself green and run naked through the Place Vendome and run off with all of the men of the world.  I shan't say a word, just as long as you love me best."
hap," Aw.  Thank you, darling.  The same applies to you too, except that if you so much as look at another woman I'll kill you."
hap," Oh Charles, that was his name.  He did wiggle so beautifully."
hap," That was a rouser, wasn't it?"
hap," The manager came in, he found us rolling about the floor, biting and scratching like panthers. [LAUGHTER]  How utterly, utterly ridiculous."
hap, [LAUGHTER] I'll never forget his face. [LAUGHTER]
hap, [LAUGHTER] We were very much younger then.
hap, [LAUGHTER] And very much sillier.
hap, And very much sillier.
neu, However I believe the real cause of that row was Peter Burden.
hap, Oh.  You knew there was nothing in that.
neu, I knew nothing of the sort.  You took presents from him.
hap," Presents?  It was only a trivial, little brooch."
neu, You went out of your way to torture me over Peter Burden.
neu, I did not.  You worked that whole thing up in your jealous imagination.
neu," Well, what of it?"
ang, What about me?
neu," I'll have a little, I think."
neu," No particular reason.  Anyhow, they are very small ones."
ang, Don't be stupid.
ang," Really, Amanda."
ang, What?
neu," you going out somewhere, dear?"
ang, No.  I am just making myself fascinating for you.
ang, Oh.  It's a woman's duty to allure the man.
neu," Well as a matter of fact, yes, that's perfectly true."
ang, No it isn't.
neu, Yes it is.
ang, You shut up.
ang," Oh really.  It's a pity you didn't have any brandy, it would have made you a little less disagreeable."
ang," Snap, snap, snap.  You know you are like a little adder."
ang, Nonsense.  They have a bag of venom behind their fangs and they snap. They snap.
ang, They sting. I don't care.  Do you understand?  I don't care if they bark and they roll about like hoops.
ang, Did you see much of Peter Burden after our divorce?
ang," Yes I did, quite a lot."
ang," And I suppose you let him kiss you a good deal more than, too. Yes.  I suppose you guys had a riotous time, huh?  All out, no restraint at all.  Well, you never really had much anyhow."
ang, Mind your own business.
ang," You're quite insufferable, I expect it's because you are drunk."
ang, I think I am not in the least bit drunk.
ang, You've always had a weak head.
ang, I think I mentioned once before that I've had three minute liquor glasses the whole evening long.  A child of two cannot get drunk on that.
ang," On the contrary, a child of two can get violently drunk on only one glass of brandy."
ang," That's very interesting Amanda. How about a child of four?  Or a child of six?  Or a child of nine? We can get a good little conversation going on about this, you know, intemperate tots."
ang, Oh shut up.
ang, Shut up.
ang," Not very funny, darling.  Why don't you have some more brandy."
ang," Look, you better turn that off. I don't want to wake up the people upstairs."
neu, Why?
neu, There are no people upstairs; it's a photographer's studio.
ang, Well then you'll wake up the people downstairs.
neu, They are away in Tunis.
neu, This is no time of year for Tunis.
ang, I will do no such thing.
ang, Fine if you insist on being boorish and idiotic.
ang," Will you turn that off, it's driving me mad."
ang," You are far too temperamental, try to control yourself."
ang, Turn it off.
ang," I won't.  Let go, let go of me. Listen, listen?  I'm sick and tired of listening to you, you sadistic bully."
ang," Amanda, listen, listen."
ang, Oh.  That's very amusing indeed.
ang," Oh shut up.  Let go.  I hate you, I hate you.  Do you hear?  You are a conceited and overbearing and utterly impossible."
ang," You are a vile, ill-tempered, loose living, wicked little beast and I never want to see you again as long as I live."
ang, This is the end.  Do you hear me?  Finally and forever.
ang, You're not going like this.
ang, Oh.  Yes I am.
ang, You're not.
ang," Yes I am.   Stop it. Stop it.  Let go of me. Oh.  You're a cruel fiend.  I loathe and I hate you. Marry you again?  Never, never, never. I hope you die in torment, you brute beast cad."
ang," Shut up. Shut up. God, I wouldn't marry you again if you came crawling back to me on a bended knee.  You are a vile, ill-tempered, mean little wench and I never want to see you again as long as I live."
ang, Next.
ang, My window is open.
neu," Yes, Jones."
ang," No, I need your ID to give you a second ID."
ang, It's really simple if you have a problem with it... Maybe you should--
neu," No, I don't have a passport."
ang, What do you expect me to do?
ang, Probably.
ang, Did you even look at the form?  I filled it out all these questions--
ang, Don't raise your voice with me.
ang, Don't talk to me like I'm a child.
ang, Do you know how long I've been working here? How long have you lived in California?
ang," Maybe you never been to the D.M.V. before, maybe you should get back in line.  You know what?  sit in line again and if you get my number ask for different one."
ang, I am not...I'm not getting to back that line.
neu, Uh huh.  I didn't come here get in yelling match either.
neu, They don't pay me enough to deal people like you.
ang, Why?
ang," Why, because I'm sick of talking to you."
ang," 'Cause you're obviously not talking to me, you're just yelling at me, berating me and telling me I can't fill out forms right."
neu," Hey, Joy come in here."
neu, What's happening?
sad, I have to go back.
sad, I just got a letter I have to go back.
sad, First thing tomorrow morning.
sad," The National Guard is I guess really spread thin and then everyone has to go.  We all have to go back, my whole companies going back."
sad," So yeah, we leave tomorrow..."
sad, ...we're all shipping out.
sad, I just got I feel like I'm in shock actually.
sad, I don't even know what to tell you.
sad, I don't know.
sad, What about the birthday party?
sad, I guess you're just going to have to have it without me.
sad," Hey listen, it's going to be okay though, all right?"
sad, You're going to be fine.
sad," I'm going to be fine too, okay?"
sad, I know I have a good... I have a really good group of guys with me.
sad, We're going to be okay.
sad, You're going with the same ones?
sad, Do promise me you're going to take a lot of pictures.
sad, I know.
sad, It's not the same though.
sad, I just wish there was something I could do.
sad, Run away?
sad, Mm hmm.  We'll build a bunker and never come out.
sad," I really don't want to go, I don't want to go..."
sad, Don't say that.
sad, I love you.
hap, The craziest thing just happened to me.
hap, This girl; she just offered me fifty thousand dollars to marry her.
hap, Why?
neu," Well, she's not a citizen so she wants to get a visa."
hap, Is she on the run?
hap," No, no, no, no, no, no she just... she's not a citizen but she wants her visa, yeah. She's going to pay me fifty thousand dollars to marry her and stay married to her for two years."
hap," Oh, she just needs to marry you."
hap, That's incredible. That's awesome. Where's she from?  Maybe you can get a dual citizenship.
hap, That's like twenty five thousand dollar a year for doing nothing. Isn't that awesome?
neu," She's actually from England, I think.  Well she- she spoke English but she had an accent. I didn't even ask."
hap, That's so cool. Uh huh.
hap, [LAUGHTER] Why did she pick you? Where were you?
hap," Fifty thousand dollars. Fifty thousand dollars. I was just out... I just... she's - well, she's a friend of friend but like..."
hap, You were at a party? And she's like hey. You seem unattached she's like.
hap," Yeah.  Can you believe that? Yeah, she's like hey, I'm like sure I'll do it, I don't care. Yeah. I'm like fifty thousand dollars, I'd totally do it for fifty thousand dollars. But the only thing is that's kind of like illegal. So like I could go to jail probably for a long if I get caught, but..."
hap, That's unbelievable... Yeah.
hap, Well I've known people who have done this before. Yeah.  You just- it's really fun actually 'cause you have like a fake engagement party and all your friends come over and like...
hap, It's like I'm really going to get married. We'll have like the whole thing.
hap," Oh, good. [LAUGHTER]"
hap," Yeah. Yeah. And then yeah, and then you know like you could like you could do like like sock her for a lot of money"
hap, I know. What do you think I should-
hap," Like make her rent the apartment that you two have to live together in, you know. And you won't pay any rent or you pay like, a hundred bucks a month or something."
hap, Oh good idea.
neu, Yeah.  Make her like open the bank account and stuff too.
hap, Yeah.
hap, It's a good idea.
hap," Dude, you lucked out."
hap, I know.  Also I get to like plan the wedding now too. That will be fun.
hap," Yeah.  My colors are blush and beige what is it, do you know?"
hap," Something blue, something new, something... no I don't know. [LAUGHTER] So yeah, wonder if she's going to pay me up front but do you think it's bad though, do you think they're going to like track the money or something?"
hap, Oh I don't know. [LAUGHTER]
neu, I don't know get it in cash.
