EMOTION,TRANSCRIPTION
hap," and so, I mean, I got in."
hap," Oh, Jesus. That is so amazing."
hap, So now I can stay here and now we can party. I know.
hap, Party. You want to get drunk tonight?
hap," Yeah, why not."
hap," Yeah, we're going to celebrate."
neu," We're not twenty one yet, but whatever."
hap," [LAUGHTER]. I'm so excited, Joe. Oh, man, I-- And I got in--I got into the school of theatre, so it's like-"
hap, Yeah. It's really cool.
hap, Top five in the nation.
hap, Who-whooooo. Miss Acti- Acting Pants.
hap," Acting Pants? So what are you going to do? Are you--you're be--you're going to stay here, right?"
neu, I got into film school at the Art Academy.
hap, Awesome. We're both going to be in L.A.
hap, So I'm going to be--yeah. I'm going to make films; you're going to be in them.
hap," I'm so excited. Yeah, I thought I was going to go to Boston, but then--"
neu, Fuck Boston.
hap," Oh man, I'm so excited. So much to do."
hap, I'm just so excited to start my life.
neu, We should uh- go to Little Ethiopia.
hap," Oh, and you sit down and you have the sponge bread-- --and eat the--drink the beer. Ugh, I love that stuff. I'm so excited."
hap, Are you going to come stay in my dorm with me sometime?
hap," Hell, yeah. Pass out."
hap, Yeah. I'll get like one of those little--
hap, Yeah. Those little-- --mattresses. I'll put it by my bed.
hap, -drunk.
hap," No, I'll sleep in your bed. Cuddle up."
hap, Uh-oh.
neu, That's going to--that'll be reserved for somebody else.
hap, [LAUGHTER] Hello? I am not.
hap, Yeah.
neu," Well, get used to it."
hap," [LAUGHTER]. No, you'd get used to it."
hap," Hey, I'm already getting used to it."
hap," [LAUGHTER]. Oh, Joe, I'm so happy."
hap," Me too, Isabella."
ang," Hey, you stupid dumb shit machine, give me a fucking operator, huh?"
neu," Hello sir, can I help you?"
neu, I [GARBAGE]
neu," Yes, sir, I'm very sorry, but we've had some trouble here.  There's been a lot of calls and the system has-"
neu," Sir, please calm down.  There's no reason to use profanity like that.  It's not-"
neu," Okay, and this is for Verizon? Your provider?"
neu," Well, um- we have a little problem with the system going on.  One of our satellites is down, and I-"
ang, You know what?  I'm just going to- Patient?  I'm a busy man.
neu," You're going to have to just be patient with us, sir, as we"
neu," Well, I know sir, and we all are busy."
neu, But I'm going to definitely have to- uh--get your contact information
ang," -have to, have to what?"
ang, What?  It's my phone.  You can't even call me on it. I don't have another phone.
neu," Okay, well, if you would like, um- we will be turning on the systems in probably about ten hours."
ang, What?  Are you kidding me?
neu," Sir, I'm very sorry, but this is the way it is.  This- We have no control over it.  It's going to take-  -but you have to be patient with us.  You can use a calling card.  We will give you a free calling card to use."
ang," Oh, my God."
ang, I- I'm going to kill myself right now.
ang, A free calling card?
neu," Do you have a land line, sir?"
neu," Okay, well, we will send you- We will reimburse you for the amount of minutes that you-"
neu, -on average would use.
ang," That's it? Okay, yeah.  What else?"
neu," And we will probably send you a calling card.  I'm very sorry.  You're just going to have to be patient, sir."
ang," Okay, I need more than this.  Are you going to give me a little bit more?"
neu," No, we don't just give you things.  We're- we're-"
neu, we compensating you for all your-
neu, Three days?
neu, A day?
neu," I don't know, sir."
neu, About three million dollars.
neu," Oh, well, I'm sorry about that. Umm- We-"
neu," Well, ten hours worth of minutes--"
neu, is what's going to happen.
neu," Sir,"
neu," what I would like what I'm advising you to do now is just to write down all of your problems that you-you feel that--You know, haven't been addressed, fax it to us-"
neu, and we will take care of it if anything happens.  But all we can do now is ask for your patience.
neu, Okay? Thank you for calling.  Goodbye.
neu, He saw it.
neu, He was out there when it happened.
neu," Um, about four this morning. Uh- I heard a crack and I looked out and I saw him standing there."
neu, I don't know. But after it cracked he went back in the house and he cried in the kitchen.
neu, Did you talk to him?
neu," No, I uh-, I figured the best thing to do was to leave him alone."
neu," He cried hard, huh?"
neu, I could hear it right through the floor.
neu, I guess he is.
neu," Could he-he's acting just like he did after he died, you know?"
neu, I don't know.
neu," But I know one thing, mom. We've made a terrible mistake with dad."
neu, Being dishonest with him. That kind of thing always pays off and now it's paying off.
neu," What do you mean, dishonest?"
neu, They do come back.
ang," It's those Goddamn newspapers, you know? I mean, it's like every day they come out with this new person that comes along. And the next one's going to be Larry."
neu," You know-you know why I asked Annie here, right?"
neu, Why?
neu, You know.
neu, I want to ask her to marry me.
neu," Well, that's only your business, Chris."
neu, So it's all right. I'll just go ahead with it.
ang," See, then it's not just my business. God, you have"
ang," -Oh, you infuriate me sometimes. You know, it's not just my business too if dad throws a fit."
sad," Every time I reach out for something I have to pull back because other people will suffer. My whole entire life, time and time after time."
neu, You're a considerate fella and there's nothing wrong in that.
ang, To hell with that.
neu, There's nothing wrong with it.
neu, I didn't ask Annie yet.
neu, I wanted to get this settled first.
neu, Well then I guess it's over then. But from her letters I think she's forgotten him.
neu," I'll find out. But then after it's all over we'll thrash it out with dad, right?"
neu, Because it is.
neu, It just is. I-
neu, But if I can't have that here then I'll get out.
neu, I'll get out. I'll marry her somewhere else. Maybe New York.
ang, Yes. I like it an hour out of the day. If I have to grub for money all day long at least that evening I want it beautiful. I want a wife. I want a family. I want some kids. I want to build something I can give myself to.
ang," Now, Annie's in the middle of all that."
neu," Now, where do I find it?"
neu, Tell me something.
neu, You'd leave that business.
neu, Yes. On this I would.
neu, Then help me stay here.
neu, Okay. Just-
neu, I'm going to.
neu, I am thinking like that.
neu," I don't know you, do I?"
neu," No, you don't. I'm a pretty tough guy."
neu, Yeah. I can see that.
ang, Why did you invite her here?
ang, She's been in New York for three-and-a-half years. She don't just suddenly come and-
neu," Well, maybe, maybe he just wanted to see her."
ang, You don't travel seven hundred miles just to see.
neu, How do you know he's even thinking about it?
ang, It's got that about it.
neu," Well, so what?"
ang, She's not Larry's girl. She knows that.
neu, You can't read her mind.
neu, How do you know why she's waited?
sad," She's faithful as a rock, don't you know. In my worst moments I can think of her-"
neu," Look, it's a nice day. What are we arguing for?"
ang," Nobody in my house better ever dare-dare to challenge her faith. Maybe strangers, but not his father, not his brother."
neu, Calm yourself.
ang," Don't, don't laugh at me, don't laugh at me."
ang," Look at it. Because why, when she came here and she slept in his room, the memorial broke into pieces. Look at it, look at it, Joe."
ang, All right. All right. Calm yourself.
sad," No, you've got to believe."
ang," Why me, above all?"
ang, Huh?
ang, Why me above all?
sad, You got to keep believing.
ang," Look at you, you're shaking."
sad, I can't help it.
ang, What have I got to hide?
ang," Huh? What the hell's the matter with you, Kate?"
hap, You're the only one I know that still loves his parents.
hap," Yeah. I know. It went out of style, didn't it?"
hap," No, it's all right. There's nothing wrong in that, you know."
hap, It's really lovely here. The air is sweet.
neu, You're not sorry you came?
sad, No. I'm not sorry. It's-
neu, Well-
neu, What?
sad," Well, you've been embarrassed ever since I came."
hap," Oh look, um, well, the thing is, I was planning on, planning on sort of sneaking up on you over a week or so, and they-they take it for granted we're all set."
hap," I, I guess that's why I asked you to come."
hap," Well, I mean,"
hap," Oh, Annie."
hap," from her opinion, why else would I come here?"
hap," Annie, I love you."
hap, I love you a great deal.
hap, I-I love you. I have no imagination. That's all I know how to tell it.
hap," Well, I guess that's why I came."
hap," I'm embarrassing you. I didn't want to tell you it here. I wanted to go somewhere that would be brand-new to each other. It feels wrong here, don't you? This yard and this chair."
hap, I don't want to win you from anybody. I want you to be ready for me.
hap," I've been ready for a long, long time."
hap, You felt something that far back?
hap, Every day since.
hap, Why didn't you let me know?
hap," Give me a kiss, Annie."
hap, Give me-
hap, I don't know if I ever can forgive you for that. Why'd you wait so long? I sat in my room wondering if I was crazy for thinking about you.
hap, We're going to live now. I'm going to make you so happy.
hap, I kissed you.
hap," Like Larry's brother. Do it like you, Chris."
sad, Let's drive somewhere. I want to be alone with you.
sad, No. What is it? Is it your mother?
neu," No, no, no, no. Nothing like that."
sad," Well then tell me what's wrong. I mean, even in your letters there's something ashamed."
sad," Yeah. I guess there is. I guess I was, but uh- it's going from me now."
sad, You should tell me.
sad, I don't know where to start.
sad," But, Chris, it wouldn't work like this."
sad, You know when I went overseas. I said I was in command of a company.
sad," Yeah, sure."
sad," Well, I lost them."
sad, How many?
sad, Just about all.
sad, Geez.
sad, It takes a little while to toss that off. Because they weren't just men.
sad," For instance, one time, it had to have been raining several days. There was this one kid, he came up to me and he gave me his last pair of dry socks. Put them in my pocket."
sad," I mean, that's-that's only a little thing, but that's the kind of guys I had. They didn't just die. They killed themselves for each other. And I mean that exactly. A little more selfish and they'd still be here today."
sad," And I, and I thought something watching them go down."
sad," Everything was being destroyed, see, but there was one new thing that was being created. A kind of responsibility, man for man. You understand me?"
sad, And to show that-to bring that onto the earth like some sort of monument standing right behind us where everyone could feel it and it would make a difference to him.
sad, And I came back here and it was incredible. There was no meaning in that here. The whole thing to them was a bus accident.
sad, And I went to work with dad and that rat race again. And I felt what you said-ashamed somehow. Because nobody was changed at all. It seemed to make a sucker out of a lot of guys.
sad," And I felt wrong to be alive. To drive the car, to see the new checkbook, to see the new refrigerator. I mean, you can take those things out of the war. But you got to know that when you drive that car that that came out of the love a man can have for another man. And you got to be a little bit better because of that."
sad," Otherwise, what you have here is loot; and there's blood on it."
sad, And I didn't want to take any of it.
sad, And I guess that included you.
sad, And you still feel that way?
sad," Because you can't feel that way, never again, Chris. You hear me? Never. I mean, the money and me too."
hap," Annie,"
hap," Annie, I'm going to make a fortune for you."
hap, What am I going to do with a fortune?
hap," Hey, what time is it? They're supposed to run around midnight, right? God, this is great, isn't it?"
hap, Look at the night we got; couldn't be better.
hap," You know actually, I wanted to go a little further up the coast to get away from all the, the people and the lights, and uh- but I thought we'd miss it. Hey, how you doing?"
sad, Fine.
hap," Oh, is that-is that-now, is that just foam, uhh, I can't even tell."
hap," Oh, though if I can't tell it probably isn't them, right? It probably would be unmistakable, wouldn't you think? Hey, how you doing?"
hap," Oh, do you know what I forgot? I forgot my flashlight. How could I be so stupid. Oh, I-I should have brought my flashlight."
hap," Uh- you know, the flashlight. The silver one. There's only one, isn't there?"
ang," I don't understand why you're always saying oh, it's mine, it's mine. It's not like it's just your flashlight. I mean, how do you think that makes me feel?"
hap, We should have brought our flashlight. I can't believe we forgot to bring it.
hap, I hope the moon stays out.
hap," Hey, do they always run during a full moon? I can't remember if it was full last year. Do you remember?"
hap," We should have brought the blanket. Oh, why didn't we bring the blanket? Our blanket."
hap," You know what would be good right now? A six-pack. Ah, I can't believe I forgot a six-pack. A six-pack would be just the ticket right about now."
hap, I'm so stupid. I'm like a little kid. I-it's amazing I get out of the house with my fly zipped. Oh- [LAUGHTER].
hap, I wonder if they can hear us talk. Or hear the vibrations in the sand when we move.
neu, Do you want my jacket?
neu, Right.
neu," Yeah, that's my point too."
hap," No. No, no, no, that's not my point. My point is there's no point in coming down here if we just turn around and leave."
neu," I mean, don't you want to see it?"
sad, Not particularly.
neu, Why not?
sad, I don't know. I just don't.
ang, Pass up what? A bunch of fish. They swim up to the beach and they flop around and they swim away and then they die.
hap," I wouldn't miss this for anything. I mean, think about this. Okay, I know you're not interested, but just think about this for a minute."
hap," And they all, all as one, turned as one and formed this line as big as the California coast and started swimming this way. Swimming as if that's the only thing that matters."
hap," You know, they didn't ask it a question. They didn't, they didn't take a vote. They didn't have an invitation or a map; they just started swimming as one."
hap," its single-mindedness with one mind. Urgency that's pure urge. You know, they don't give it a name."
hap," They don't ask it a question. They just, they just, they don't know what drives them. They just turn as one and start the swim that brings them to here"
hap," where we stand for a massive celebration of sex and death. Oh, God, I'm giving myself goosebumps. Look, I'm all-all my hairs on my arms is sticking up."
neu, About what I just said.
neu, About what?
neu, About what I was just saying.
neu," Carla, can I ask you something? Don't take this wrong, but are you having your period?"
ang," Augie, Goddamn it, don't ask me that. You always ask me that. Why do you ask me that? I hate it. It's insulting."
neu, We're not seeing the grunions?
ang, Like I feel like my whole life I've been just standing on this beach with my hands clasped waiting for these fish to show up and these fish never show up.
sad, Do you remember the last time we came here?
sad, We thought I was pregnant.
sad, You brought a bottle of champagne.
hap, We took off our shoes and we danced barefoot in the sand. Under the moon.
hap, And you whispered so intimately in my ear so I could feel your words.
hap," Oh, that moment-that was it."
sad," I told myself finally, this is how happy I'm supposed to be."
neu, Wait a minute. I got it.
hap, Dancing barefoot in the sand. Drinking out of a bottle of champagne.
sad, I don't want to remember something.
sad, Hope for some things.
sad, No.
sad, No.
sad," No, no."
ang, No.
ang," A-a back rub, some ice cream, a suicide pact. What the hell do you want, Carla?"
ang," No, it's not. It's standing on the beach waiting and fighting."
sad, Things have never turned out anything the way that I thought they would be.
sad, it's not something else. Do you know what I'm trying to say?
sad," I know you are, Augie, and I know you wanted this evening to be nice, but I can't help thinking of being somewhere else."
sad, I didn't say that.
hap," Actually now that you mention it, no, I don't."
hap," Well, I guess we're just in the wrong spart-spot with the right person."
hap," Seemed like a pretty good spot to me. I mean, look at the view of the moon we've got from here."
hap, I noticed that. It's beautiful.
hap, You can see right over the water.
hap, Look what we got here.
hap, It's not champagne.
hap, At least we won't need glasses.
neu, Are you still cold? Do you want to go home?
hap, Maybe this is the right place after all.
sad," I'm sorry, Augie."
neu, Shh.
hap, If we're very quiet the fish might come.
hap, Or not.
neu, [BREATHING]
neu, Do you think it's them?
neu," We're all right, aren't we darling? Whatever happens."
neu, Then I don't care.
hap," things that should matter dreadfully don't seem to matter at all when one's happy, do they?"
hap, Don't laugh at me. I'm serious.
hap," [LAUGHTER]. You mustn't be serious, my dear one, that's what they want."
hap," Ooh, certainly you must. We're figures of fun, all right."
sad," Oh dear, well, shall we want that?"
sad," Well, what if happens if one of us is to die? Does the one that's left still laugh?"
hap," Let's blow strumpets, blow-blow trumpets and squeakers and party as much as we can like small quite idiotic school children. Let's savor the delight of the moment. Come, kiss me darling, before worms pop in and out of your eye sockets."
hap," Thank you, dear. The same applies to you. Except that if I ever so much as catch you looking at another woman I'll kill you."
hap, Remember that awful scene we had in Venice?
hap, Oh Charles. That was his name. Charles. He did wiggle so beautifully.
hap, yeah. And that was the first time you ever hit me.
hap," That was a rouser, wasn't it?"
hap, The manager came in and found us rolling on the floor and biting and scratching like panthers. [LAUGHTER]
hap, I know. Oh man. Couldn't believe it.
ang," As a matter of fact, the real cause of that row was Peter Burden."
ang, I knew nothing of the sort. You took presents from him.
ang, I remember it well. Bristling with diamonds. In the worst possible taste.
neu," Just a little perhaps, but it was nothing serious."
ang, You let him kiss you. You said so.
ang, What about me?
ang," That's a nice point of view, I must say."
neu," Well, it's true."
neu, Are you bored with this conversation?
neu, So am I. Bored stiff. Want some brandy?
neu," I'll have a little, I think."
neu," No particular reason. Anyhow, they were very small ones."
neu, It's become a habit with you.
ang, You needn't be so grand just because you don't happen to want some yourself at the moment.
ang, Don't be so stupid.
ang," Really, Amanda."
ang, What?
ang, Nothing.
ang," Going somewhere, dear?"
neu," It's a woman's job to allure the man. Watch me, won't you, a minute?"
ang," No, it isn't."
ang," Yes, it is."
ang, They snap.
ang," I don't care. I don't care, do you understand? I don't care if they bark, if they roll over on the floor like hoops."
ang, did you see much of Peter Burden after our divorce?
ang," I imagine that you let him kiss you quite a bit more then, didn't you?"
ang, You had a riotous-must have had a riotous time. No restraint at all. Very enjoyable. You never had much anyhow.
ang, You are quite insufferable. I suppose it's because you're drunk.
ang, I'm not in the least bit drunk.
ang," Okay. As I mentioned before, I said I had three very minute liquor glasses. That's hardly enough to get a child of two drunk."
ang," Well, I suppose the people downstairs then."
neu, This is no time of the year for Tunis.
ang, Turn it on.
ang, Turn it off.
ang, I will not. Go away. Go away. I hate you.
ang," Oh, very amusing, indeed. Amanda, listen-"
ang," Listen, indeed. No, no, no, no. I am sick and tired of listening to you, you sadistic bully."
ang, Very amusing indeed.
ang," Stop it, stop it, I hate you, I loath you, you are overbearing and conceited and utterly impossible."
ang," You know, you're a vile, ill-tempered, wicked little beast and I hope that I never see you again as long as I live."
ang, This is the end. Do you hear? The end. Now and forever.
ang," No, you're not going out like this. No you're not."
ang," Oh, yes I am."
ang," Yes I am. Let go of me. I hate you and I loath you. God, I can't believe I just finally realized how you are. I am never marry you. Never. Never, never, never. I would rather die in torment."
ang," Oh, shut up. Shut up. Shut up."
ang," I wouldn't marry you again if you came back crawling to me on your hands and knees because you're vile. You're a mean, evil-minded little vampire and I hope to God I never set eyes on you again."
ang," Beast or brute cad, swine beast beast brute."
neu, Is that a demand sir?
neu, No.  You filled out the back part.  You were supposed to fill out the front portion only.
ang, What are you talking about?  It says fill out that part.
ang, I'm not going anywhere.  I'm staying right here.
ang," Hey,uh-- Well that's too bad cause I'm getting my license right now."
ang," Hey, no, give me that back."
ang, -- No.  I'm not waiting...I'm not coming back again.  I don't have time to come back five days.
ang, Yes I will.  I'll have this [GARBAGE]
ang, Fine.  Call your supervisor.  Ask supervisor over
ang, No.  I'm not going anywhere.  I'm staying here-- I am filling out right now okay just calm down. I'm filling out right now-- Just take the god damn piece of paper.
ang, Okay.  I'm going to call security. Security!
ang," This entire time you're fighting with me sir, you could've finished the form and already been half way-- No.  Get out."
ang, I did finish one.  Take it.
ang, What is wrong with you?
sad, Hey sweetie.
sad, Hey.
hap, Um.
sad," Uh, -Um"
hap, Why the sad face?
sad, they need me out there sooner than I thought
sad, They want to deploy me next week.
sad, For--
sad, They said anywhere from two to three years.
sad, No.
sad, Do this whole thing by myself?
sad, Honey you're not going to be by yourself--
neu," We'll have internet set up, we'll get web cameras and everything.  My whole family's here too."
sad, Carry her for nine months and then yes.
sad, It's not the same thing.  It's not like having you here.
sad, I can't do this.
neu," You can do it.  Alright?  You can, you can be strong, you can be strong for both of us alright?"
sad, I'm sick of being strong-- --for us.
sad, I don't know what to do.
sad, You know I can't say no.
sad," and watch our child grow, see her take her first steps, her first words."
sad, Honey after a year I can be back.
sad, You said two years.
sad, They want me there two years but I could probably get
sad, maybe get some vacation-- --once it quiets down there.
sad, A whole year? --We're not talking about like a couple months here.  I mean this is a whole year.
sad, I know.  I know.  But they really need some good guys there.
sad, What could happen in a year?
sad, And this isn't the first time you know?  I mean you always...sending you off to different places and...
sad, Well that's the kind of work I'm in honey.
sad, I don't know if that's how I want to live my life.
sad, It's just going to be--it's going to go faster than you think.
sad," Joe I'm serious I don't want to have to have a little girl to tell...asking every day where's daddy, where's daddy and have to tell her that he's away--"
sad, far away and he won't be here.
sad, You tell her-- [BREATHING]
sad, I'm done.  I can't honey.
sad, What do you mean?
sad, It's over.
sad, Honey I can't do it anymore.
sad, I need you here.  Anna needs you.
sad, yeah.
hap, Hey.
hap," Esmeralda, guess what?"
hap, What?
hap, [LAUGHTER] Guess who just got hitched?
hap, This guy. Yeah.  Can you believe it? She said yes too. Yeah.  She said yes.
hap, Okay we were at Chuck E. Cheese.
hap," Chuck E. Cheese?  Ah, man that is so lame."
hap, Are you serious [GARBAGE] man?
hap, Oh like that one movie.  What's that one movie I just saw? No.  Where she like swallows the...
hap," oh, I don't remember.  Everybody Says I Love You with Drew Barrymore...no you haven't seen it?  Okay."
hap, [LAUGHTER] So nasty. No you... dirty me?
hap," Ah...Anyways, so she took the ring and she goes, is this real?  So I was like, of course--"
hap, Sara and I--
hap, She actually asked if it was real?  I would've probably asked the same thing considering you were in Chuck E. Cheese.
hap, Come on. It was her birthday.
hap, She wanted...she always wants something spontaneous.
neu," Yeah.  That's, you know, okay."
hap," I couldn't, I couldn't afford the Red Lobster. [LAUGHTER] What anyway?"
hap," Oh god! You are damn cheap, cheap, cheap. Anyways, moving on. It's not like you're poor.  I mean your dad makes... okey"
hap, So Okay then and.
hap," I got all the character animals to do a conga line,"
hap," dim down the lights and uh, I got on one of the tables pulled her up."
hap, You had the mouse?
neu, Isn't it a rat?  It's a rat.  Chuck E. Cheese?
hap, Yeah.
hap," Chucky...I don't know.  I don't know. Anyways, I pull her up and I go, I go Sarah"
hap," You're my guiding light, then they put on that song the I've had the time of my life, that song."
hap," Okay, that is really cheesy Joe."
hap, Oh that's kind of sweet.
hap," Wait, wait, wait I want you to marry me?  No, shouldn't you like be more like a question like, would you marry me?  Not like I want you to marry me.  It's like a demand."
hap," You marry me. I man I Jane, you Tarzan."
hap, She said sure?
hap, Sure?  Who says sure?  You say yes...I don't like--
