TRANSCRIPTION,EMOTION
 Don't you guys have access to computers over there.,neu
 I just don't know how I'm going to do it without you.,sad
 I can't raise a baby by myself.  How?,sad
 I know.,neu
 It's just not fair.,fru
 Well Vegas was awesome.,hap
" And, um, I got married.",hap
 Yeah.  In the old town part.,hap
 Chuck. [LAUGHTER],xxx
 Um- Yes.  It was very romantic.,hap
 It was at the slot machines.,hap
" Uhuh, uhuh.  He won big and he-and he realized that the only thing that would make it better was me as his bride.",hap
 Hey.  Let's get married and I said okay.,xxx
" Yeah.  Well.  You know, because he's leaving the next day.",hap
 But we're going to have a honeymoon cruise.,hap
 Oh.  I hadn't even thought about that.,hap
" He's not going to be a citizen, though.",xxx
 Oh.  Totally.,hap
 I guess I'll-  I guess I'll have an internet husband.[LAUGHTER],hap
 I have an internet boyfriend.  I guess I'll have to juggle the two.  Is that cheating?  I don't know. Hmm.,xxx
" Yeah, so [LAUGHTER] He's calling me now",exc
" He likes to keep tabs, you know.",hap
" Uh, I think seven hundred and fifty dollars.",neu
 Penny slots. That's what he plays.,neu
 Yeah.,neu
 Oh.,xxx
 Yeah.  We played Wheel of Fortune pennies.  It's like a giant thing with like-,hap
 Fifty bucks. Mmhmm.,neu
 Yeah.,neu
 Well so now we're married. We have cat children.,hap
" We renamed Brenda, Lumber Janet.",hap
 She needs a new name each state that we go into. [LAUGHTER],hap
 So what's up?  What's new?,neu
 Yeah.  I heard.,neu
 Shut up.  No- in Vegas?,sur
 Who did you marry?,exc
 Did you propose to you?,xxx
 Oh.  The Wheel of Fortune slots?,xxx
 He turned to you and was like...,neu
 [LAUGHTER] That's really romantic.,hap
 Yeah.,neu
" Does that mean that you're going to get citizenship, too, in- in England or whatever?",neu
 Yeah.  Think about that.,xxx
 Yeah.  But he'll have like a long visa.  Can you go visit then for a long time?,neu
" Oh, how are you going to do the long distance thing?  So wait, are you going to move there?",xxx
 Like you need another one of those.[LAUGHTER],hap
 Is that your phone?,hap
 He loves you.,hap
 How much did he win at the slot?,neu
 Really? Penny slots?,sur
 Wow.,sur
 I'm a big fan of the Wheel of Fortune quarters. But it just costs so much.  I don't know.,neu
" But the pennies always get you because you end up spending like, you know, fifty bucks.",neu
" like, wait, but it's just pennies.  You're like, wait a minute I'm on to you.",neu
 Awesome.,exc
 [LAUGHTER] Cat babies.,hap
 That's fair enough.,neu
" Uh, what?  Craig's List?  Oh the internet thing?",neu
 I don't know.  Isn't that-- that's all like escort services and things like that.,neu
" I don't know.  I mean I've been looking for so long that I just figured that--  I mean, I think things like Monster are a lot more reliable than just some random free board.",fru
 What kind of a job?,xxx
 Really?,xxx
 He just...,neu
 you know what?  I heard about that job.  I applied for that.,neu
 Yeah.  I saw a posting at the theatre.,fru
 He got it?,xxx
 Yeah.,neu
 What did he do?  What was so great?  I don't understand why they would pick him over me.,xxx
 A resume?,xxx
 No.,xxx
 I just- I mean I call people up and I tell them what I'm good at.,neu
 Yeah.,neu
 I don't like- I don't like sending things in the mail.  I don't want my information out there.,xxx
 I'm there in front of them.  I'm telling them what I'm good at.,fru
 Why?  It's a piece of paper.,fru
" I just don't want this paper trail, you know.  I just don't want things following me around, like-.",fru
" It's just-- You know, I've had this problem before.  You're not the first person to tell me that I need a resume but...",fru
 ..I just-..I just think it's kind of prejudiced and they are really discriminating against people who just aren't that way.,xxx
" That's baloney, that's baloney.",fru
 Please.,fru
 you think that you're better than me because I don't have a car?,fru
" You know, you're riding the bus, too.",fru
 Why?  What choice?,fru
 You're saving the environment. mmhmm,fru
 Interesting.  That's fantastic.,fru
 I'm not frustrated.,ang
 Who do you think you are?,ang
 You are so high and mighty.  I just--,ang
 Oh.  I'm saving the environment. I'm riding this car because I- I want to.,ang
" The bus, I'm riding the bus because I want to.",ang
 I can not-- you are not here by choice.  Nobody would ride this bus by choice.,ang
" Have you tried, uh, Craig's List?",neu
 Yeah.,neu
 No.  There's regular jobs on there.,neu
 Uh huh.,neu
 I'm just saying I have a friend that got a good job on it so I was just recommending it.,neu
 He's like a manager for a theatre.,neu
 He's like a house manager. Yeah.  It's a good job.,neu
 You did?,neu
 Yeah.,neu
 You've been looking for a job for a long time; that was a long time ago.  Right?,neu
 Hmm.,neu
 I don't know.  He had a really good resume I guess and--,neu
 Yeah.  Do you have a resume?,neu
 It's kind of helpful when getting a job.,neu
 Well maybe we should sit down some time and you can just tell me all the stuff that you have done and I'll write it out.,neu
" No.  You can- or you can just bring it in person.  But they need, generally, something to see, you know, what kind of what that you've done, what kind of--",neu
" Yeah.  But the piece of paper helps, too.",neu
" No.  But it has an outline, you know.",neu
" I know.  Okay.  Well, um. Maybe--",neu
 Yeah.,neu
" Okay, yeah.  I would imagine.",neu
" Well, sometimes you have to do things that you don't necessarily like to do to have a job. But the job affords you money, you won't have to be taking the bus right now.",neu
 maybe get a car.,neu
" I just, you know, think you should try a little harder maybe.",neu
 I didn't say that.,neu
" I am riding the bus, but by choice.",neu
" To save the environment, carpool.",neu
 Yes.  One less car at a time.,neu
 Mmhmm.,neu
" You know, you don't have to take out your frustration on me, you know, just because...",fru
 ...you can't get a job and refuse to have a resume.,fru
 I don't think I'm anyone.,neu
 I- I-I didn't-- okay.,neu
 What?  No.,xxx
 What? Oh.  So now you're...,fru
 you know what?  You don't have to take your anger and your hurt out on me.,fru
 Why not?,xxx
 Hi.,fru
 Yeah. This is the fourth line that I have been in.,fru
 I need my bag.,fru
" I flew in over three hours ago, I've been in four different lines.",fru
 I waited the entire baggage- I waited for the whole baggage carousel four times.  They told me to go to the next one.  I waited through that for three planes and now I'm here.,fru
 Nash.,fru
 No G.,xxx
 Yes.,fru
 Flight seven fourteen.,ang
" Am I going to be getting, like, free tickets, free mileage. When can I expect my bag here?",ang
" Oh, Are you kidding me?",xxx
 Is this a joke?,ang
" Are there candid cameras?  Is this that movie? There's that show, right?  Airplane, airline.",ang
 So you'll give me money and then I'll get my bag?,xxx
" You're kidding me, this is a joke.",ang
 Do you have any idea-- fifty dollars?  That's supposed to replace everything that I have?  Do you understand how much I have packed in there? Not only does it have sentimental value; it can't be replaced like that.  It was incredibly expensive.,ang
 We flew in from Paris.  I've been shopping for three weeks.,ang
 I don't care what you're freaking sign says.  Somebody- Somebody needs to replace everything I've got there and give me money for my inconvenience.,ang
 Do you understand who my husband is?,ang
" If you're- if you're- if you're looking for a lawsuit, baby, you've found it.",ang
 Oh-Oh.  It's a gift.  You're-You're helping me out here?,ang
 You are cruising for a bruising.  You are in so much trouble.,ang
 Who's in charge?  Who is the president of Jet Blue?,ang
 Because I probably know him.,ang
 Yeah.,ang
" I don't want money, I want my clothes.",ang
 What's your name?,ang
 Sean.  Great. Do you have a badge number or something?,xxx
 Okay.  I'll do that.,ang
 I don't think you have done everything you could do because I don't have my bag here yet.,ang
 A letter? I'll make a personal phone call.,ang
 Hi.  Thanks for waiting.,neu
 Can I help you?,hap
 Uh huh.,hap
 Okay.,neu
 Okay.,neu
 Okay.  Great.  I'm really sorry that you had to do that.  What's your last name?  Let's start there.,neu
 Okay.,neu
 all right- okay.  And you lost your bag? Is that- that the issue?,neu
 Uh-huh.,neu
" Yeah. Yeah, I don't see- I don't see any--",neu
" I don't see any record of it, and I-usually when I don't see a record of it, that means um-",neu
" we've mistakenly lost your baggage.  We're very sorry.  On behalf of Jet Blue I would like to apologize for any inconvenience.  I am allowed to issue you a fifty dollar gift card which you can use any future flights you want to take with us.  I'm very sorry, once again...",neu
" for such an inconvenience and your bag, but",neu
 Yeah.,neu
" No, no.",neu
" No, no.  This is real.",neu
" No.  I'm just giving you money, the bag is gone.  If it's not here, I'm really sorry there is nothing I can do because...",neu
 this is the only track record that we have and if it's not listed here then it's probably not anywhere.,neu
" Once again, I'm really- I'm really sorry.",xxx
 Yes.,neu
 I know.,neu
" I'm very sorry.  But if you see the sign that's right behind me here, it spells it out really clearly that we are not held liable--",xxx
 Okay. Calm-,neu
" Actually, we are not necessarily liable to give you- to even give you this fifty dollars so... it's actually- it's actually really",neu
" We are actually not even allowed--  you know, like we don't have to give you this fifty dollars.  We don't have to do that.",neu
 It's a gift.,neu
" You know, the airlines can not be held responsible for every bag of luggage that comes through here.",neu
 With the amount of--,neu
" Um, actually, I don't know. I don't know. Oh really?",neu
 Well then maybe you can just call him and he can give you more money.  But right now all I can do--,neu
" Right now all I can do is just give you this fifty dollars, I'm really sorry.",neu
 Oh.  My name is Sean. Hi.,neu
" Badge number?  Uh, no.  You can just take my employee number I guess.",sur
 Why?  Have I done something wrong?  Have I given you bad service?  I feel like I have done the best I could.,sur
" If you want, you can write a letter.  I can give you the address. Yes.  An angry--",neu
" Or you can make a phone call.  But I think a letter might be a little more-- in my impression, letters have more...",neu
 It's okay.,xxx
" No, no, no.",xxx
 No.,sad
 That's sweet.,neu
 Thank you.,neu
 I went to see her headstone a week or two ago.,sad
" I used to go to cemeteries a lot before she died.  I just, you know, I felt like they were urban oasis, you know, there is always this green in the city.",sad
 So I was like wandering around before.  It takes forever to find her headstone; I always lose it. You know.,sad
 So I was looking at this other one and there was like a piece of candy there and I thought that I would take the candy and put it on her headstone.  And-,sad
" this woman came up and, you know, it was hers. It was her person that was there.",neu
" Yeah.  And she was like, that's pathetic, I hope you enjoy it.",sad
" And I, you know, I mean, I said I was sorry and I brought it back to her kind of and I like put it on the ground and she was like, no, it's fine.  She was like, I would rather have her back, honestly.",sad
" I don't know.  It just, like, I felt so bad because I shouldn't have done it.  I don't know.  Whatever.",sad
 I don't know.,sad
 At the cemetery?,sad
 couple hours.,sad
" I brought- I brought Chuck with me. He went to Redlands, yeah, for the day.  We ran through the sprinklers.",neu
 It was hot.[LIPSMACK],xxx
 Yeah.  It's huge.  Redlands is an old city so they have lots and lots of stones.,neu
 Yeah.,neu
" It's weird.  Whenever I go back to town, I think of her.  I mean, it's like ... I mean we grew up together and she died when we were twenty one.  And yeah.  She had cancer, she had two brain tumors.",sad
" My best friend Heather.  She's got a- we have a- we built this like little--  There's a park, Prospect Park.  And there is like a garden section of it that we set up for her.",sad
 She used to have these poetry parties on Memorial Day.,sad
 Umm. Yeah.,sad
" And the last time before she died, I remember she couldn't really stand, umm...",sad
" But I mean she could, but it was- so it was kind of sitting at her feet holding her up and she had these poems she had memorized.  And I remember looking up, she had curly red hair and there was this palm tree right behind her and it was like a crown growing right out of her head.  It was cool.",sad
" Some, I guess.  She memorized this one, John Dunn, it's called, Death Be Not Proud. and-",sad
" There's another one, I can't remember.",neu
" I remember, too, when we were--  she died at U.C.L.A.  She had brain surgery and there was not much hope to begin with, but I gave blood for her surgery, her mom and I before, so we dropped her off in the waiting room and then we were giving blood and came back.  And she, in her wheelchair, like can hardly do anything, reciting her poetry for these people like in the waiting room.  All she needs is a God damn audience.  You know?",sad
" I'm sorry, Joy.",sad
 Is there anything I can get you?  Do you want me to take care of anything for you or...?,neu
 ...pick up anything?,neu
 You know you are welcome to stay at my house if you want to just check out for a couple days and hang out.,sad
 Hmm.,neu
 Oh.  She was there?,neu
 Mmhmm.,neu
 Yeah.,sad
 How long were you there for?,neu
 Mmhmm.,neu
 Oh really?,neu
 You ran through the sprinklers in the cemetery?,neu
 Is it a big cemetery?,neu
" Oh, so they're like really old too, really old ones?",neu
 Mmhmm.,neu
 Mmhmm.,neu
 So she wrote a lot of poetry?,neu
 Mmhmm.Mmhmm.Mmhmm.,xxx
" Yes.  There's a big envelope it says, you're in. I know.",exc
 So I have to move back to the ghetto but...I know.,xxx
" I'm really excited.  Yeah. I don't know how I'm going to pay for anything, but... I also- Yeah.  Loans, too, yeah. I applied, though, for a bunch of grants and scholarships so I'm still waiting to hear on that.",exc
" Oh- I know, I know, I know, I know.",exc
" I don't know.  I spend so much time commuting as it is, I'd rather.",exc
 I know. We should throw a party.,exc
" At Arapaho we could afford that. [GARBAGE]. Yeah.  So what are you doing this summer, though?  You're staying around, too, yeah?",xxx
 It's a relief too. I mean I was thinking I was going to have to pack up all of my stuff but yeah. Hooray for U.S.C.,xxx
" Umm. It's...It's uhh...It's Critical Studies. It's a really prestigious program, so they say.",xxx
 Yeah.  I'm not sure.,exc
 Umm...P.h.D. [LAUGHTER],exc
" Um, yeah, yeah.  I'm a TA for two sessions. Mmhmm.",xxx
 So I get to mold young minds. Mrs.?  That's my mother.,exc
" I would be like- Oh. Right, right, right.",exc
" Yeah. Yeah I'm excited. Hooray.  And then I'll be a millionaire once I graduate, you understand? Because that's the way it works.",xxx
 Yeah.  Totally. [LAUGHTER],xxx
" I know. I made such a mess of it, the entire time.  The last three things I've done, I've ruined everything, I think. Mm-hmm.  Yeah.",exc
 Did you get the letter?,exc
 Yeah. That is so awesome.,exc
 Oh my God. What are you going to do? [LAUGHTER],exc
" Oh-Yeah, I bet you're really excited. Oh.  That's what loans are for?  Right? Exactly.",exc
" Oh.  Good, good.  That's awesome. Are you going to stay around here?  Or are you going to like get a different neighborhood- you going to move to a different neighborhood?",exc
 This is so- I am so happy that you're going to stay.  You're not going to...We should totally throw a party.,exc
 A rapper party ho. Yeah. Okay.,exc
" I am just- Yeah.  I'm sticking around, I'm just doing my thing.  I'm living here.  I'm so glad you're going to stay, I'm so glad you're going to be here. Yeah. Woo.",exc
 Yeah.  Big time.,exc
 Mmhmm. Mmhmm. Yay. So what major?  What are you doing?,exc
" Oh, okay.",xxx
 Ooh. Fancy.,xxx
 Is this a Masters or a P.h.D.?  Or can you...? Nice,neu
" That's good.  Don't you have to like teach a class, too, when you do that?",neu
" Teacher. Mrs. Nash, I have a question.",exc
 You have to get married.  Well you are married to Chuck.  You're Mrs. Nash.  Not to be confused with Mrs. Dash which is the popular seasoning.,exc
" Mrs. Nash.  That's so awesome, though.",xxx
 Yay...School's fun.,exc
" Of course, right.  That's where the real money is, being a student.",neu
 That's how you get the big bucks.  Are you messing with the chair? Don't ruin it.,hap
 What's he going to say?,fru
 Maybe we should tell him before he sees it.,xxx
 How could he see it?  I was the first one up; he was still in bed.,sur
 When?,xxx
 What was he doing out here at four o clock in the morning?,xxx
" He's dreaming of him again, walking around.",neu
 It's getting to be just like after he died.  What's the meaning of that?,xxx
 What?,xxx
 What do you mean dishonest?,xxx
 What do you want to do?  Argue with him?,fru
 You can't say that to him.,fru
 Where's the proof?  Do you have any proof?,fru
" To you it is, to me it is, but to your father, you can talk yourself until you are blue in the face.  But there is no grave and there is no body, so where are you?",fru
" It's that the trouble is those God damn newspapers.  Every month some new boy comes back and so the next one is going to be Larry, they just--",xxx
 Why?,fru
" Well I got an idea, but what's your story?",neu
" Well that's only your business, Chris.",xxx
 Well what do you want me to do?  You're old enough to know your own mind.,xxx
 Well you want to make sure that your father is not going to --,xxx
 I'm just saying.,xxx
 Oh.  I ignore what I got to ignore.  That girl is Larry's girl.,xxx
" From your father's point of view, he is not dead and- Chris he still thinks he's still alive.  The girl is Larry's girl.",fru
" Now you can go on from there if you know where to go, but I'm telling you, I don't know where to go.",fru
" You're a considerate fellow, there's nothing wrong in that.",fru
 I just don't see why.  Have you asked Annie yet?,fru
 Well how do you know she's going to marry you?  Maybe she feels the same way your father does.,fru
 The trouble is you don't see enough women.  You never did.,fru
 Why does it have to be Annie?,fru
 Oh that's a great reason.  It's no reason at all.,fru
" You haven't seen her since you went away to war, it's been five years.",fru
 I don't want a diagram.,fru
 He thinks he's coming back Chris.,fru
" You marry that girl, you are pronouncing him dead...",fru
 ...and then what's that going to do to your father?  Do you know?  I don't.,fru
 Just give it some more thought.,neu
 What the hell is this?,ang
 Are you crazy?,xxx
 You have a business here.  What the hell is this?,ang
 Oh.  Must you be inspired?,ang
 You mean to tell me that you would leave the business over this?,fru
 Well you don't want to think like that.,fru
" All right.  But you don't want to think like that because what the hell are we working for, Chris?  It's all for you.  This whole shooting match is for you.",ang
 Just don't think like that.,ang
" I don't understand you, do I?",fru
 I can see that.,fru
 He saw it.,neu
 He was out here when it broke.,neu
 Four o clock this morning.  I heard a crack and I woke up and looked out.  He was standing right over there when it cracked.,neu
 I don't know.,neu
 I guess he is.,neu
" I don't know the meaning of it.  But I know one thing, Mom, you've made a terrible mistake with father.",fru
" Being dishonest with him, you know.  This kind of thing always pays off and it's paying off.",xxx
 You know Larry is not coming back and I know it.  Why do we allow him to go on thinking that we believe with him?,neu
 I don't want to argue but it's time he realized that nobody believes Larry is alive.,fru
" You know?  Why shouldn't he walk the nights thinking of him, dreaming of him?   Do we contradict him?  Do we say, we don't have any hope anymore?  That we haven't had any hope for years now?",fru
 We've got to say it to him.,neu
" For God's sake, three years?  Nobody comes back after three years; that's insane.",fru
" Sit down, Mom.  I want to talk to you.",neu
" All right, all right, all right.  You know why I asked Annie here, right?",fru
 You know.,neu
 I'm going to ask her to marry me.,neu
 You know it's not just my business.,neu
" So all right then, I'll just go ahead with it?",neu
 Then it's not just my business.,fru
" You know sometimes you infuriate me.  you know that?  Isn't it your business if I tell father and he throws a fit about it?  God, you have such a talent for ignoring things.",ang
 She's not Larry's girl.,fru
" I don't know why it is, but every time I reach out for something I have to pull back because I am afraid other people will suffer. My whole bloody life, time after time.",fru
 To hell with that.,fru
 I wanted to get this settled first.,neu
" Well if she does, then that's it.  That's the end of it.  From her letters, though, I think she's pretty much forgotten him.",neu
 And then we'll thrash it out with father.  Okay Mom?  Don't avoid me.,neu
 So what.  I'm not fast with women.,fru
 Because it is.,fru
 I don't know.,fru
" I can't help it, I know her best.  I was brought up next door to her, you know?  These years when I think of someone for my wife, I think of Annie.",fru
" Mom, what do you want?  A diagram?",fru
" All right, then, Mom. [BREATHING]",fru
" I've given it three years of thought.  And I'd hope that if I waited, father would forget about Larry and then we could just have a regular wedding and everyone would be happy.",fru
" But if I can't do that here, I may have to go somewhere else.",fru
" I'll get out.  I'll get married and I'll move somewhere else, maybe New York.",neu
" I've been a good son for too long, a good sucker.",fru
 The business?  The business doesn't inspire me.,fru
" Yes.  I like it for an hour a day.  I don't care if I have to grub for money all day long, when I come home I want it happy.",fru
" I want some kids, I want a family, I want somebody that I can give myself to and Annie is in the center of that.  Now it's just where to find it.",fru
" On this, I would.",neu
 Then help me stay here.,neu
 I know that.  Then just help me stay here.,fru
 Well I am thinking like that.,fru
 No.  You don't.  I'm a pretty tough guy.,fru
 Why did he invite her here?,xxx
" She's been in New York three and an half years, why all of a sudden?",xxx
 Nobody comes seven hundred miles just to see.,xxx
 He's not going to marry her.,ang
 It's got that about it.,ang
" What is going on here, Joe?",ang
 She is not his girl.  She knows she's not.,ang
" Then why is she still single?  New York is full of men, why is she still single?  Probably a hundred people told her she's foolish, but she waited.",ang
" Because she knows what I know, that's why.  She's faithful as a rock.  In my darkest moments, I think of her waiting and I know that I'm right.",ang
" Nobody in this house dares take away her faith, Joe.  You know strangers might, but not his father, not his brother.",ang
" I want you to-- I want you to act like he is coming back, both of you.  Don't think I haven't noticed you since Chris invited her here.",ang
 I won't stand for any nonsense.,ang
" Because if he's not coming back, I'll kill myself.  Oh laugh, laugh all you like but why does this happen the very night he comes back.  She goes to sleep in his room and his memorial breaks in pieces.  Look at it, Joe, look.",ang
" Just believe with me, Joe. Only last week a man came back in Detroit missing longer than Larry.  Believe with me. You, above all, have got to believe. Just believe.",ang
 I can't help it.,fru
 Why does that bother you?,xxx
 Well maybe...maybe he just wanted to see her.,neu
" What do you mean?  You know he lived next door to the girl his whole life, why wouldn't he want to see her?",xxx
 [BREATHING] You don't look at me like that.  He didn't tell me anything more than he told you.,fru
 How do you know he's even thinking about it?,neu
 Oh.  So what.,xxx
 Now listen.,fru
 You can't read her mind.,fru
 How do you know why she waited?,neu
" Hey look, it's a nice day, huh?  Why are we arguing?",fru
 What do you want me to do? What do you want?,fru
 Kate.,fru
 [BREATHING],fru
 Calm yourself.,fru
 Okay. Calm yourself.,fru
" I know. All right, all right. All right. Okay.  Calm yourself. What does that mean, me above all?",fru
" Look at you, you're shaking.",xxx
" What have I got to hide?  What the hell is the matter with you, Kate?",ang
 You're the only one who still loves his parents.,neu
 It's not so bad; it's a good thing.,neu
" [BREATHING] You know, it's lovely here.  The air is sweet.",neu
" I'm not sorry, no. But I'm...I can't stay.",neu
" For one thing, your mother much as told me to go.",neu
" And then, you.  You've been kind of...",neu
 Sort of embarrassed ever since I got here.,neu
 I knew they would.,neu
" Well sure, from your mother's point of view.  Why else would I come?",neu
" I, umm. I guess, I guess that's kind of why I came.",neu
 [BREATHING],hap
 [LAUGHTER],hap
 [LAUGHTER],hap
 No. No,hap
" Chris, I've been ready a long, long, time.",neu
 I almost got married two years ago.,neu
 You started to write me.,neu
 Every day since.,hap
" I was waiting for you, Chris.  You sure can be ambiguous, you know.  And when you did finally write me,",xxx
 beating around the bush.,hap
" I will never forgive you.  All I'd done was sit around wondering if I was crazy waiting so long, wondering if you were thinking about me.",hap
 Not like that you're not.,hap
" Like Larry's brother.  Do it like you, Chris.",neu
" Chris, what is it?",xxx
 No. What is it?  Is it your mother?,xxx
" Then what?  Chris.  Even in your letters, there was something ashamed.",xxx
 You've got to tell me.,xxx
 It wouldn't work like this.,xxx
" Yeah, sure.",neu
 How many?,neu
" Aw, geez.",sad
 Mmhmm.,neu
 Do you still feel that way?,xxx
" Because you mustn't feel that way.  Everything you have, you've earned - everything.  you understand me?",xxx
" Even me.  And your money?  Chris, there's nothing wrong in your money.  Your father put hundreds of planes into the air, you should be proud of that.  A man should be paid for that.",xxx
 What would I do with a fortune?,hap
" I know.  It kind of went out of style, didn't it?",neu
 You're not sorry you came.,neu
 Why not?,xxx
 Well.,neu
 What?,neu
 Well I was kind of planning of sneaking up on you over the course of a week or so.  They just take it for granted that we're all set.,neu
 You did?,xxx
" So would you want to?  I mean, I guess you have to know that's kind of why I asked you to come?",xxx
" I love you. Annie, I love you.",hap
" I don't really have any imagination, that's all I know how to say.",hap
" Am I embarrassing you? Are you - See, I didn't want to do it here with this yard, on this porch.  I wanted it to be somewhere new, some place fresh for both of us.",hap
" You feel uncomfortable here, you feel that it's wrong here somehow.  I just...I don't...I didn't want...I didn't want to take you away from anything.",xxx
 And he's gone forever?  Are you sure?,xxx
 Why didn't you?,xxx
 You felt something that far back?,sur
 Why didn't you let me know?,hap
 Give me a...,hap
 Give me a kiss.,hap
 God.  I kissed you Annie.,xxx
" Oh Annie, we are going to live now.  I am going to make you so happy.",hap
 I kissed you.,hap
" Hey, let's drive some place.  Huh?  Let's get out of here.",sad
 No it's nothing like that. It's-,sad
 Yeah.  I suppose I have been. But it's going from me.,sad
 I don't even know how to start.,sad
" It's just all mixed up with so many other things, you know?  You know overseas I was in command of a company?",sad
 Well I lost them.,sad
 Pretty much all.,sad
 You can't just toss off a thing like that because they weren't just men. You know?,sad
" Like for instance, there was this one time it had been raining for several days and this kid he just came up to me and he gave me his last pair of dry socks.  He just put them in my pocket.  That's a little thing, you know, but that's what kind of guys I had.",sad
" They didn't die, they killed themselves for each other.  I mean that, exactly.  Just a little more selfish and they would all be here today.",sad
" And I had this idea as I was watching them go down.  Everything was being destroyed, you know, but this one thing was being made.  It was kind of a monument, it's kind of responsibility, man for man.",xxx
" To bring that on to the earth again, you know, is like some kind of monument and I thought I would just make a difference to them.",sad
" But then I came home and it was incredible, you know?  The whole thing was just kind of this random bus accident.  You know, I went back to the rat race again, I went to work.",sad
 Driving my new car and seeing a new refrigerator.,xxx
" I mean...You can't take those things out of a war. when you drive that car and you see that new refrigerator, you have to know that it came out of the love that a man can have for another man.",xxx
 And I didn't want any of it. I guess that included you.,sad
 I just want you to know Annie.,neu
" Annie, Annie.  I am going to make a fortune for you.",xxx
 Fine.,neu
 [BREATHING],fru
 What?,xxx
 What flashlight?,sur
 That's not your flashlight.,neu
 It's ours; it's my flashlight too.,xxx
 You keep saying my flashlight like it's just yours.,ang
 How's that supposed to make me feel?,ang
 Yeah.,neu
 [LAUGHTER],hap
 I'm cold.,sad
" It's after eleven, let's go.",xxx
 There is no point.,xxx
 That's my point.,xxx
" Well, then let's go.",fru
 Not particularly.,neu
 I just don't.  It's stupid.,xxx
" Pass what up?  I mean these fish swim out of the ocean, they flop around on the beach, they swim away and then they die.",fru
 I don't see why you're so excited; this isn't a freaking moon landing we are talking about.  It's fish.  It's a fish nobody even eats.,xxx
 Oh Augie,fru
 I'm just not.,xxx
 Yeah.,fru
" Last time, you'll also remember, we got our shoes wet, I got sand in my panties, you got a sore throat and we got into a big fight and we did not see the grunions.",xxx
 Hmm.  We didn't see them the year before either.,fru
 That's the wind.,neu
 About what?,neu
" What time is it?  I think it's supposed to run around midnight, right?  God, this is great, isn't it, Carla?  Look at this night we got here, huh.",xxx
" Actually I want to get a little further up the coast, get away from all like the lights and the people, but...  How are you doing?",xxx
" Okay.  Is that, is that--",exc
 No.  That's just foam.  I don't know.  I can't tell.,xxx
" I don't know, probably if you can't tell, though, it's probably not them, right?  It's probably going to be like this unmistakable thing, right?",xxx
 Oh no.  you know what I forgot?,xxx
" My flashlight.  God, how could I be so stupid?  I can't believe I forgot my flashlight.",xxx
" The flashlight, the silver one.  There's only one, isn't there?",neu
 Whose is it?,neu
" Oh...well. Yeah, of course.",neu
 No.,neu
